sid,structure,non-planarity (exp.),non-planarity (sim.),Doming,Saddling,Ruffling,WavingX,WavingY,Propellering,Doming2,Saddling2,Ruffling2,WavingX2,WavingY2,Propellering2,Doming (%),Saddling (%),Ruffling (%),WavingX (%),WavingY (%),Propellering (%),Doming2 (%),Saddling2 (%),Ruffling2 (%),WavingX2 (%),WavingY2 (%),Propellering2 (%)
1567159,Corrole,0.5592352001579325,0.5585323597938427,0.38355841368867255,0.30826321475028595,0.19839426491468257,-0.005609768361640225,-0.019604399442719272,-0.01859536451724575,-0.027037869308519927,0.10447851694258678,-0.011223133167870901,0.09758698298839552,-0.10163555590586734,-0.003513475504057091,29.977188437654135,24.092456708476767,15.505597197314074,0.4384340879169865,1.5321910700633217,1.4533294703132353,2.113157407810251,8.165567690080003,0.8771492576544881,7.626956608699925,7.943374731518489,0.2745973324983322
7060416,Corrole,0.404478400243821,0.4036460996728999,-0.2773782118230201,-0.026389369684138658,0.21876894839821115,0.00874550026284654,0.011713482116308765,-0.011495247232647287,-0.014633045477227463,-0.012475496358991724,0.016961907067150114,-0.07094209759429088,-0.10297785394901565,0.007401941985924806,35.56663955528096,3.3837596452805587,28.05150513599673,1.1213860437522056,1.5019535731732205,1.473970548138331,1.8763126730972406,1.5996623503960965,2.1749294252874476,9.096504003860284,13.204267882143158,0.9491091635937914
4103378,Corrole,0.22076348835127954,0.21859729489469698,-0.07602593655700007,-0.13681726054442028,-0.035522950865764756,-0.053195547776394264,-0.0008385836058546431,-0.002875707372027246,-0.053965695474207376,-0.020008904458624854,0.011271782061466446,-0.07566114845363754,-0.04977276652922104,-0.001593057685857156,14.689601643318898,26.435597459833655,6.863683909004448,10.278352907201652,0.16202969239829024,0.555639268003811,10.427159530306016,3.8660863532547114,2.177914482764822,14.61911790888177,9.617008959199113,0.307807885832804
4513498,Corrole,0.929280151422233,0.9275634922067194,0.058540731496526964,0.8458189150266054,-0.16180174138491646,-0.03516722353777122,-0.0898277588183868,-0.02958968931972475,-0.007835045078988433,0.38006468024964074,-0.0031626966717114104,0.0058549652764506325,0.12452755239681577,0.019853282640568303,3.3223189733612033,48.002137274068595,9.182614934661041,1.9958195091378996,5.097928567471793,1.6792818218989474,0.44465653669886074,21.569530581843722,0.1794901923976902,0.33228252755053095,7.067220368756702,1.1267187121530213
4327184,Corrole,0.7654011195742285,0.7652843404881692,0.018575079650876063,0.7521357409152096,0.12921222082606815,-0.024075752946894804,0.015494735265955229,-0.004914338003106996,-0.015985133657896767,0.11161754746752876,-0.015378286178502195,-0.025199681306304893,0.06449987571476158,0.001765549953987794,1.5756896584780755,63.80228408204679,10.960833758525425,2.0423016025509213,1.3143897403567635,0.4168742054032744,1.3559893291197713,9.468310152897566,1.304511579601189,2.1376423669556215,5.471405186253277,0.149768337811343
4111293,Corrole,0.39046609929334136,0.3900119833535099,-0.3488391330324857,-0.005676044488157168,-0.19284231892196774,-0.01000936405916632,-0.014638672513789742,0.003252268493363723,0.03224283312430973,-0.023062165115261123,-0.01094501361082124,-0.052863588954688,0.007798634050012253,-0.011638512612272363,48.87012540446196,0.7951774318614478,27.015972167681596,1.4022477138332399,2.050784140198898,0.4556219588610906,4.517014144836262,3.230861433130159,1.5333262156243401,7.405849794108245,1.0925386171399354,1.6304809782628236
7243790,Corrole,0.7820686470713847,0.7820140814468615,0.030170061849298446,0.7662841056881188,-0.12624058298319069,0.04788600838507438,0.027687649978943914,-0.01741193079152205,-0.029568576849589058,0.10552758537459965,0.045698951565092336,-0.015027074926599568,0.07225025891598616,-0.008937454670155281,2.3338972376808527,59.27824631177645,9.765725684600822,3.7043683652934263,2.1418626891291623,1.346953061614902,2.2873675293116653,8.163408521836873,3.5351819083247986,1.16246525568291,5.589139344428211,0.6913840903199305
7100412,Corrole,0.36266475415327615,0.36064989305506817,0.08810969424129453,0.24222852338796344,0.1397804200727442,-0.1724370454994436,0.007484111789601907,-0.005209375266583055,0.04988159986410351,0.025091586281844578,-0.02127539976105499,-0.1120743326578554,-0.012185667021687451,-0.008007491854473808,9.969807533248751,27.408695241042047,15.816464885526596,19.511634560023097,0.8468438659577014,0.5894523777834006,5.644213776678433,2.8391686986090225,2.40735872070742,12.681459578739956,1.3788352793255076,0.9060654823580745
7710982,Corrole,0.3738295474272407,0.37335284440184324,0.12945599783664608,-0.1715454341051206,0.23565829004605507,-0.0018409762679266154,-0.1683074649603332,-0.0195387888019384,0.018704708121549857,-0.048624743427886453,-0.056358600423910506,-0.0257606790971927,-0.02796213611027664,0.01048321426292943,14.159941754797648,18.76369883066453,25.776385156738925,0.20136662002095607,18.40952864728008,2.1371594674497323,2.0459274345546103,5.3185912301233405,6.164523179462768,2.817711976856925,3.0585081052857865,1.1466575967646992
4327183,Corrole,0.8823740008266033,0.8813308075622454,0.05616099523150281,-0.8407856258076004,-0.07549688254990587,0.01570138853397468,-0.031694408103793016,0.01875023497347221,-0.03528647759149101,-0.29427591686403193,0.03613159054180903,-0.0028239873244302804,-0.12301138897381712,-0.0024348693036972415,3.664536702384722,54.861737615382566,4.926214285899427,1.0245244822313522,2.06807805449215,1.2234634367747814,2.3024626201666885,19.20167001191698,2.357606718153824,0.18426677010949893,8.026562703308663,0.15887659917934316
