sid,metal,n_electrons,solvent,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity
7101300,Al,422,['C(C)O'],5,2.004902872973633,1.8481234414705634,3.6500000000000004,3.7,0.028790992057690753,0.07251553004777242,0.13694518658006472,0.12396455388111298
7029612,Zn,566,[],4,2.0350451526123727,,,3.7,0.03048468172344298,0.0064410314686806115,0.03359384724745955,0.056827282439375015
7011680,Zn,452,['CO'],4,2.0264322125741057,2.0351656148846953,3.7,3.7,0.2430070389154529,0.17203094384136172,0.4082008938168765,0.7370892484956819
4083905,Rh,398,['ClC(Cl)(Cl)Cl'],5,2.0193957938432536,2.0523908550324914,3.7,3.6,0.05575872678691515,0.05370100659324596,0.0892055813701429,0.36830053987214195
7107598,Ir,720,"['OC', 'C(Cl)Cl']",5,2.0267181386403914,2.0869017979782853,3.7,3.6,0.007890271152696353,0.019591287489468073,0.07286869324669129,0.06273068479636297
4132809,Ti,350,[],5,2.1036733216566685,1.62976,3.7,3.75,6.938893903907228e-18,0.559221,0.01368699999999999,0.005866000000000003
4032497,Ni,360,[],4,1.9419983050808685,,,3.6,0.014300202844529469,0.003969690597449774,0.5270704539106119,0.2222115189509628
4323740,Ni,392,[],4,1.892658838858642,,,3.6,1.3351426552090127,3.573965032845157e-16,1.7316225792277715,2.886437437913217
1549368,Co,474,['c1ccccc1'],5,1.9648602952150744,1.9682293962071598,3.7,3.6,0.009106649472906268,0.14781304327084124,0.19248163550744343,0.14587762991178455
4516286,Zn,584,[],4,2.054009307555985,,,3.7,0.024134595502345785,0.2510367557758016,0.048104680417163176,0.23804720764102053
7027060,Ni,426,['C(Cl)(Cl)Cl'],4,1.9199418414950342,,,3.6,0.13076626900736352,0.0035514286049522187,0.37053409579101326,0.7153462816171854
7108133,Zn,398,[],4,2.037962183131606,,,3.7,6.060071145003125e-17,1.0849267416785557e-18,0.024056337853920626,0.024560788717000293
2239043,Fe,454,[],6,2.00711454350411,1.9528566953436841,3.65,3.65,0.00911367527721074,0.04712786799698613,0.05300581790344365,0.03174332092798199
7038120,Zn,538,[],4,2.0311114235576753,,,3.7,1.0554613461511353e-16,7.036408974340903e-17,0.05928774177937415,0.11778829337826364
7707446,Rh,586,[],5,2.071181755960512,2.2670429657948934,3.8000000000000003,3.6,1.3792327775934725e-16,1.2928230249032726,0.34740305802747923,0.8622360750195768
1556871,Fe,622,[],6,1.995813955147759,2.0147136123789817,3.7,3.65,0.017438936337173697,0.06707474523667334,0.06010758133590585,0.10494076165664912
7126171,Ru,518,['c1ccccc1'],6,2.071314541804472,1.769199902630958,3.625,3.65,0.007358405479767313,0.006121057567167272,0.0990604196467958,0.1275883842349315
4030369,Ni,348,[],4,1.927629321964677,,,3.6,0.038748000000000005,0.0,0.543572,0.1937415
4067837,Rh,420,[],5,2.019843298307606,1.9541071004957737,3.7,3.6,0.05963795835266203,0.07328832650011037,0.061555715850328555,0.44719399008750044
7103688,Os,558,[],6,2.023201132494898,2.110637,3.6500000000000004,3.6,1.37841393315511,4.575983954879999e-14,2.0985057618594025,2.886485493608436
4323747,Zn,426,[],4,2.027903591153528,,,3.7,0.09613960675825771,0.0734350252532976,0.12079684059221324,0.9008415047345759
2021487,Mn,404,['c1cnccc1'],6,2.006964531949934,2.4448298242323414,3.75,3.65,0.0025635198930731872,0.11369913390475138,0.39406609142611737,0.21278927433699885
4318631,Ru,744,[],6,2.06750405560679,2.313974739050105,4.0,3.65,1.416595057338992e-16,2.023707224769989e-17,0.08005295216340702,0.07742462000223896
4060552,Rh,518,[],5,2.060656001152573,2.0642154961062085,3.7,3.6,0.012441209563017308,0.06155777073428025,0.01410794154545002,0.08084659874463919
7045057,Ni,600,"['S(=O)(C)C', 'CC(=O)C']",6,2.0509455518157305,2.1826431547509086,3.6,3.6,2.1517337713250608e-16,1.3241438592769605e-16,0.15331845993015614,0.21570446405612623
