sid,metal,n_electrons,solvent
4318798,Fe,670,['C(=O)(C)C']
4341724,Ni,492,[]
4319729,Ni,432,[]
4313888,Cd,462,['c1ccccc1']
7045058,Ni,600,"['CS(=O)C', 'ClCCl']"
7023779,Zn,1112,['C1CCOC1']
4025260,Ni,740,[]
4350204,Fe,366,['c1cc(C)ccc1']
1507281,Pd,526,[]
4300609,Rh,528,['Cc1ccccc1']
7115941,Ni,546,[]
2016069,Zn,558,[]
4067387,Rh,454,[]
4326729,Zn,810,[]
1551470,Zn,552,['ClC(Cl)Cl']
4117019,Zn,510,['O=C(OCC)C']
7056128,Pt,526,[]
7151398,Zn,444,['CO']
2210417,Zn,398,[]
4302163,Ni,1632,['C(Cl)Cl']
4071801,Rh,444,['C(Cl)Cl']
2241271,Ni,420,[]
4070568,Ir,510,[]
7042956,Ni,428,['ClCCl']
2216087,Ni,476,"['Cc1ccccc1', 'ClCCl']"
7056127,Pt,462,[]
4322204,Zr,542,['c1ccccc1']
4323085,Co,488,[]
4331172,Ni,316,[]
4114247,Zn,318,[]
4323733,Zn,432,[]
7048463,Zn,286,[]
7223031,Sn,556,[]
4067839,Rh,474,[]
4340789,Co,506,[]
2003488,Rh,466,[]
4311643,Ru,556,['C(Cl)Cl']
4107512,Fe,390,['c1([nH]ccn1)C']
7156220,Ni,502,['C(CCl)Cl']
2226609,Ni,468,[]
7232121,Sn,840,[]
4313953,Tm,500,['ClC(Cl)Cl']
2234250,Ni,492,[]
4114249,Zn,402,[]
7032603,Ni,340,['CCCCCC']
4502040,Sn,404,[]
4322640,Zn,398,['c1(ccccc1)N(=O)=O']
4350255,Zn,1156,[]
4083055,Ir,544,['C1CCCO1']
4322301,Fe,430,[]
2202428,Zn,414,['N(=O)(=O)c1ccccc1']
7017683,Zn,326,[]
2015245,Zn,512,[]
1507727,Ni,632,"['C(CCl)Cl', 'CC#N']"
4321837,Zn,766,['C1CCOC1']
4107359,Fe,1114,[]
2207819,Zn,390,[]
1551476,Zn,510,[]
2013099,Ru,502,['OC']
2011222,Ru,1064,[]
8101904,Ni,476,[]
7221710,Zn,492,"['O', 'C(Cl)(Cl)Cl', 'OC.OC']"
