,coordination,metal_nitrogen_bond_length,metal_axial_bond_length,expected_metal_axial_bl,metal,expected_metal_nitrogen_bl,nitrogen_non_planarity,metal_non_planarity,metas_non_planarity,betas_non_planarity,id
27,4,1.9533072620390057,,,Ag,3.7,0.11049681179678542,0.001461789014139098,0.0485805876482941,0.2999906851890618,4327183
28,5,1.9082457578783174,2.2140311319963413,3.5999999999999996,Mn,3.65,0.0004322759729346063,0.2350383422473426,0.052612368793074536,0.12905527264889788,4103380
29,5,1.9279150856282392,1.642952744796088,3.65,Fe,3.65,0.0118678430713484,0.4134663940372312,0.11632125626577117,0.10166827213631437,7037476
30,5,2.141508161865093,2.451110118605649,4.0,Zr,3.9,0.0007413947609084915,0.9139124641397038,0.13255415921667577,0.3769148529798619,7108512
31,5,1.9673545065727747,2.2216375298454962,3.95,Rh,3.6,0.009765671269088824,0.27652853111217357,0.1693106685253858,0.40440043604364784,4321108.c
32,5,1.878545816508475,2.20517860997902,3.95,Co,3.6,0.0032680780372870795,0.26161914510638823,0.06541928154216083,0.15358197224496478,1507269
33,5,1.897540957146993,1.7018403707383958,3.65,Fe,3.65,0.03271891588679816,0.4486805937473479,0.025402206968449286,0.14457794352080583,4331977.c
34,5,1.8845505834885385,2.2189697168093576,3.95,Co,3.6,0.006514736770203038,0.29862252570762327,0.10876949453224675,0.280336029662701,7124121.c
35,5,1.8579391839778632,2.216560498473931,3.95,Co,3.6,0.010758498664410402,0.2640105572371758,0.14307589424868852,0.19289943785690805,4114907.c
36,5,1.897540957146993,1.7018403707383958,3.65,Fe,3.65,0.03271891588679816,0.4486805937473479,0.025402206968449286,0.14457794352080583,4331977
37,5,1.8579391839778632,2.216560498473931,3.95,Co,3.6,0.010758498664410402,0.2640105572371758,0.14307589424868852,0.19289943785690805,4114907
38,5,1.9905144408108488,2.2200303441266294,3.95,Ti,3.75,0.0037109166530472767,0.6673732066795285,0.21143905069866445,0.40082406897721135,7112064.c
39,6,2.070008990057368,2.374253373592784,4.0,Ta,3.8000000000000003,0.005169492806687453,0.9029675058042094,0.2083140628845821,0.3861841022952726,7041455.c
40,4,2.0624731965754357,,,Sn,3.85,0.025436978172256056,0.7627223069564545,0.13389545109511672,0.4953217003807908,4084537.c
41,4,1.850931311271096,,,Ni,3.6,0.006160682616696491,0.009719997613001527,0.07813872778918671,0.0770261257088552,7102612
42,6,1.879182874726423,1.9941979859892163,3.6,Co,3.6,0.004699567416888217,0.006605701854669209,0.10762435827030388,0.10092724488207036,7214135
43,6,1.9518871680915875,2.123953072663057,3.7,Pt,3.65,0.003092942095389922,0.0180970543386501,0.08592665363479395,0.14315944179104198,4515932.c
44,6,1.9374420522792875,2.1193674701232874,3.65,Cr,3.65,0.013401939447251893,0.0024317288065662163,0.1466916862023897,0.29298267276379925,4320734.c
45,5,1.9486709174124113,1.6154633652621158,3.65,Ru,3.65,0.011739863612473022,0.5581107692362405,0.07237541300045328,0.26193716352950924,4349427.c
46,5,1.9923236219281972,2.03129365686845,3.8499999999999996,Ti,3.75,0.01639832354485988,0.6563312996958246,0.30009742701557657,0.30919305450116896,7112063
